,Method,Best AUC,Best Possible AUC,Average Best AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.8954266666666666,0.9149466666666666,0.8981199999999999,820.7898712205289,859.4000787430899
1,Dist,0.8548,0.9157866666666666,0.8464733333333335,765.0315593923475,1190.7671365264828
2,LOF,0.8481799999999999,0.9148933333333333,0.8427986666666666,740.6699981075574,1124.5666044992258
3,Isolation,0.8346,0.8898333333333335,0.8437199999999999,844.5439386181407,1166.4509727526852
