,f11_mse
0,0.10209002956218491
1,0.24266231419011822
2,0.20002278638251794
3,0.28083546032046025
4,0.1622926211326172
5,0.412368462349961
6,0.2922051318534091
7,0.314685619093475
8,0.09889230772582765
9,0.1264125301659046
10,0.311115988551764
11,0.09857701041255534
12,0.3819221749545512
13,0.2920232076843214
14,0.3333196011995719
15,0.1072545922741714
16,0.0925730395613952
17,0.27210954385100766
18,0.09768010437341114
19,0.23751412025602567
20,0.09748071106591924
21,0.22981871483687089
22,0.10244841995166346
23,0.09335889509614366
24,0.14417062096769215
25,0.19069093509162713
26,0.15539402628402563
27,0.2987431842921083
28,0.15067587264629997
29,0.7364661544988199
30,0.09533492641686615
31,0.16378862428973634
32,0.14837901135608042
33,0.15559047741539006
34,0.8819912759205564
35,0.09761039891721929
36,0.10940016771510348
37,0.3214423683676504
38,0.6869583413437012
39,0.13301469356473972
40,0.21920826056098247
41,0.09361580545717478
42,0.12460680314100364
43,0.14581571620583625
44,0.1817046186005853
45,0.25662389618003395
46,0.11835136411502378
47,0.10789063918487322
48,0.10564003287840439
49,0.30470585240074527
50,0.09219185283757325
51,0.3062439421369542
52,0.1368308412348736
53,0.10051940643543207
54,0.2277668743439727
55,0.1763081735482273
56,0.0853124576900772
57,0.08759842156469802
58,0.1821364686084358
59,0.1344666174782049
60,0.11906978425472316
61,0.2664821510430526
62,0.4649052299612877
63,0.1480082828876085
64,0.38157616654922766
65,0.12502624148780336
66,0.19722917119936778
67,0.1409299854224455
68,0.11582043800052175
69,0.27122433224568543
70,0.15775527426969108
71,0.19252104885323268
72,0.189209322808344
73,0.42659397132330057
74,0.14349415629577894
75,0.12202239019509689
76,0.10317530800125459
77,0.10921198225123194
78,0.14209550106303498
79,0.18836418990911474
80,0.1524831530638756
81,0.20510403162416932
82,0.29819779617404873
83,0.15811190227709657
84,0.35312402827504236
85,0.22590365746879779
86,0.19463442335937484
87,0.16304456440948384
88,0.27569042332530697
89,0.1394344211471285
90,0.6475275403954074
91,0.28339873366802276
92,0.2776442260614945
93,0.08865986367335418
94,0.09627017243645558
95,0.35694288798316715
96,0.12465404450357127
97,0.09146200792490432
98,0.3144032972840856
99,0.10934204265708833
100,0.09102614527606397
101,0.1780134449766813
102,0.15268984699130478
103,0.10298178997681594
104,0.16050930087300003
105,0.12116412778936285
106,0.08941830309290012
107,0.09151575513547824
108,0.20067164844866756
109,0.11627275600342937
110,0.23719909994880958
111,0.11005919454077934
112,0.12304014202919893
113,0.15852648086221377
114,0.08861307254927514
115,0.08866322742854436
116,0.12942342488845132
117,0.11008794714671491
118,0.1067776896170206
119,0.16136941093028387
120,0.40328054722924433
121,0.09515731013337378
122,0.147632233530418
123,0.07833647544491787
124,0.11720390347330792
125,0.08482163334789834
126,0.09205731379886387
127,0.13567296715857352
128,0.1689171711601378
129,0.14927333419403882
130,0.11388933533366935
131,0.11911053534147677
132,0.11962814142626177
133,0.14667519433440998
134,0.128244507820163
135,0.08874387876165026
136,0.13075631354879494
137,0.13147769135435872
138,0.11948202533905856
139,0.10936653784308371
140,0.17648384321780825
141,0.17925123720842764
142,0.097224088714247
143,0.09479018304034352
144,0.08654243729155738
145,0.11383790921633145
146,0.14229966196425958
147,0.17406015907298883
148,0.10643610003846198
149,0.11132206653043018
150,0.11259131464263684
151,0.08594949570912279
152,0.10275356941287662
153,0.22943470192188395
154,0.09931384927636355
155,0.18563909264054917
156,0.11656257566455788
157,0.14561164724163486
158,0.09306485763779147
159,0.15020841704687113
160,0.1062161950363232
161,0.09126025171500647
162,0.11057047437983883
163,0.07718570681015514
164,0.08640662808400484
165,0.13709973974481918
166,0.17448887872682964
167,0.07838862520346904
168,0.10129747466445252
169,0.1244092374377236
170,0.10675838639453263
171,0.08432078253122784
172,0.08030701208386358
173,0.1255870383931124
174,0.15927159009591801
175,0.08497130828108139
176,0.08334838346889589
177,0.09179849002706032
178,0.09827167148948171
179,0.12449420130733896
180,0.2462539297077061
181,0.11772676832071009
182,0.10753693221223257
183,0.08702868197681549
184,0.124730724465749
185,0.07854972650503916
186,0.12323597399899286
187,0.677450684920556
188,0.12038578724959641
189,0.07701872480879532
190,0.11141732726207061
191,0.07584189425182496
192,0.14864786430136062
193,0.14264262628708083
194,0.12877037534792252
195,0.12144139041909187
196,0.08244661081940768
197,0.11486677755040961
198,0.18494216924057888
199,0.13044761360375878
200,0.08211499289688177
201,0.1394845769910695
202,0.08016584527636653
