,Method,Best AUC,Best Possible AUC,Average Best AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.9906554753902284,0.9990090321659919,0.9885119137504452,3180.376263770134,12677.374068679197
1,Dist,0.7694039736853231,0.9982902725500086,0.8216280659839716,2798.355740311291,10800.837538371223
2,LOF,0.6897289405781077,0.9950504076152543,0.6918727895418477,3304.317540921439,10517.730723116993
3,Isolation,0.9974657027639166,0.9997933516134663,0.9954781555341043,2825.072258679517,23981.106854297348
