,Method,Best AUC,Best Possible AUC,Average Best AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.6766127755794235,0.6952945166760881,0.683647710570944,2684.9403646505025,2744.5372752349444
1,Dist,0.7427111362351613,0.7561695873374787,0.7470399095534199,2434.2830438009464,2382.5108708751786
2,LOF,0.7504578858111928,0.7618224985867723,0.7470661390616168,2438.895533367404,2560.241249939585
3,Isolation,0.6651441492368569,0.7190503109101187,0.6975981910684002,2628.0618587762656,2702.417182921206
