,Method,Best AUC,Best Possible AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.9831587158715871,0.9831587158715871,0.2989801110949925,0.2989801110949925
1,Dist,0.9755859585958596,0.9863186318631864,0.23626662797358816,0.38518900842381415
2,LOF,0.5217002700270028,0.9824173417341734,0.2992269140477068,0.4051863724250598
3,Isolation,0.9847422742274228,0.9847422742274228,0.24858858651555638,0.24858858651555638
