,Method,Best AUC,Best Possible AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.6817727529677785,0.6817727529677785,2610.496337255871,2610.496337255871
1,Dist,0.7449496890898814,0.7449496890898814,2389.8413260845905,2389.8413260845905
2,LOF,0.732431882419446,0.7531305822498587,2423.2487710654445,2523.981645585517
3,Isolation,0.6900260033917467,0.6900260033917467,2627.3110844237663,2627.3110844237663
