steps,AUC
20000.0,0.9518779342723005
40000.0,0.9510954616588418
60000.0,0.9491392801251957
80000.0,0.9495305164319249
100000.0,0.9479655712050078
120000.0,0.9479655712050079
140000.0,0.9487480438184663
160000.0,0.9491392801251956
180000.0,0.9475743348982786
200000.0,0.9464006259780906
220000.0,0.9475743348982786
240000.0,0.9467918622848199
260000.0,0.9479655712050077
280000.0,0.9475743348982786
300000.0,0.9479655712050079
320000.0,0.9483568075117371
340000.0,0.9483568075117371
360000.0,0.9487480438184663
380000.0,0.9479655712050078
400000.0,0.9487480438184663
420000.0,0.9483568075117371
440000.0,0.9483568075117371
460000.0,0.9483568075117371
480000.0,0.9479655712050078
500000.0,0.9475743348982785
