steps,AUC
20000.0,0.8610208333333333
40000.0,0.8837083333333332
60000.0,0.8996041666666665
80000.0,0.90621875
100000.0,0.9111666666666666
120000.0,0.9142291666666665
140000.0,0.9144479166666667
160000.0,0.9169583333333333
180000.0,0.9171041666666667
200000.0,0.91909375
220000.0,0.9193541666666667
240000.0,0.9201770833333333
260000.0,0.9201458333333333
280000.0,0.9205729166666666
300000.0,0.92046875
320000.0,0.9212291666666667
340000.0,0.9212187499999999
360000.0,0.9212083333333333
380000.0,0.9216354166666666
400000.0,0.9221354166666665
