,Method,Best AUC,Best Possible AUC,Average Best AUC,Zscore Sum Best AUC,Zscore Sum of Best Possible AUC
0,Loss,0.9870489048904891,0.9870489048904891,0.9853257125712572,1432.28753770883,1432.28753770883
1,Dist,0.9797116711671167,0.9872355235523552,0.9829799579957996,1496.0143400427778,1501.2313974007159
2,LOF,0.9789522952295229,0.9789522952295229,0.8763485748574859,1561.0975365703066,1561.0975365703066
3,Isolation,0.9864032403240324,0.9867230723072307,0.9855638763876389,1429.9050954798972,1418.2984230549496
