loss,loss_q0,loss_q2,mse,mse_q0,mse_q2,step
0.12256382787454641,0.24450182095170023,0.0006258347973925993,0.12256382787454641,0.24450182095170023,0.0006258347973925993,0
0.10666503195668349,0.21172203505784232,0.001608028855524024,0.10666503195668349,0.21172203505784232,0.001608028855524024,200
0.10649365895704267,0.2114010272705931,0.0015862906434922438,0.10649365895704267,0.2114010272705931,0.0015862906434922438,400
0.10820419196323948,0.21482835568208214,0.0015800282443960943,0.10820419196323948,0.21482835568208214,0.0015800282443960943,600
0.10113278803119484,0.20078272388596108,0.0014828521764284255,0.10113278803119484,0.20078272388596108,0.0014828521764284255,800
0.1125071680097972,0.22336809572484345,0.0016462402947508923,0.1125071680097972,0.22336809572484345,0.0016462402947508923,1000
0.10611000967249123,0.2108713241061193,0.0013486952388629988,0.10611000967249123,0.2108713241061193,0.0013486952388629988,1200
0.10153691842565594,0.20160210828855635,0.001471728562755746,0.10153691842565594,0.20160210828855635,0.001471728562755746,1400
0.10546816605242189,0.20957663721591252,0.0013596948889317028,0.10546816605242189,0.20957663721591252,0.0013596948889317028,1600
0.10957442466836118,0.21769978787470626,0.0014490614620153827,0.10957442466836118,0.21769978787470626,0.0014490614620153827,1800
0.11508926487530707,0.22849552354495956,0.001683006205654231,0.11508926487530707,0.22849552354495956,0.001683006205654231,2000
0.11028797771132656,0.21908548378292458,0.0014904716397286413,0.11028797771132656,0.21908548378292458,0.0014904716397286413,2200
0.11212419167181346,0.22259748087171502,0.001650902471912562,0.11212419167181346,0.22259748087171502,0.001650902471912562,2400
0.10661111498031108,0.21166698898002523,0.0015552409805968627,0.10661111498031108,0.21166698898002523,0.0015552409805968627,2600
0.11267897347596621,0.22367098838277163,0.0016869585691601944,0.11267897347596621,0.22367098838277163,0.0016869585691601944,2800
0.11002327206517619,0.21834635545779021,0.0017001886725629429,0.11002327206517619,0.21834635545779021,0.0017001886725629429,3000
0.10690663902743101,0.21226571838278305,0.0015475596720789292,0.10690663902743101,0.21226571838278305,0.0015475596720789292,3200
0.10882316230531461,0.21605008388776326,0.0015962407228653354,0.10882316230531461,0.21605008388776326,0.0015962407228653354,3400
0.11213021861832356,0.2225338148772711,0.0017266223593760518,0.11213021861832356,0.2225338148772711,0.0017266223593760518,3600
0.10801506129498024,0.21446849878970545,0.0015616238002548902,0.10801506129498024,0.21446849878970545,0.0015616238002548902,3800
0.11419213738449625,0.22677864114288296,0.001605633626109924,0.11419213738449625,0.22677864114288296,0.001605633626109924,4000
0.11065048074621898,0.21981702598556904,0.0014839355068688798,0.11065048074621898,0.21981702598556904,0.0014839355068688798,4200
0.10767180712013265,0.21368376951385282,0.0016598447264113947,0.10767180712013265,0.21368376951385282,0.0016598447264113947,4400
0.1123558575042991,0.2230675792200493,0.0016441357885487362,0.1123558575042991,0.2230675792200493,0.0016441357885487362,4600
0.10724260818291828,0.21291122730914466,0.0015739890566910655,0.10724260818291828,0.21291122730914466,0.0015739890566910655,4800
0.10679064433756136,0.21203693631105108,0.0015443523640715298,0.10679064433756136,0.21203693631105108,0.0015443523640715298,5000
0.10867392713366288,0.21582160825934357,0.0015262460079829906,0.10867392713366288,0.21582160825934357,0.0015262460079829906,5200
0.10570265360381777,0.2099225740954281,0.0014827331122069189,0.10570265360381777,0.2099225740954281,0.0014827331122069189,5400
